2025-04-02 $H:47:28 | WARN | Disk usage 85% | server-node-2
2025-04-02 $H:47:28 | WARN | Response time slow | server-node-3
2025-04-02 $H:47:28 | ERROR | 500 Internal Server Error | server-node-1
2025-04-02 $H:47:28 | ERROR | 500 Internal Server Error | server-node-1
2025-04-02 $H:47:28 | INFO | File uploaded | server-node-1
2025-04-02 $H:47:28 | INFO | User login successful | server-node-1
2025-04-02 $H:47:28 | WARN | Response time slow | server-node-1
2025-04-02 $H:47:28 | WARN | Disk usage 85% | server-node-2
2025-04-02 $H:47:28 | INFO | Connection established | server-node-2
2025-04-02 $H:47:28 | WARN | Response time slow | server-node-3
2025-04-02 $H:47:28 | WARN | Response time slow | server-node-2
2025-04-02 $H:47:28 | WARN | Disk usage 85% | server-node-3
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-1
2025-04-02 $H:47:28 | WARN | Disk usage 85% | server-node-2
2025-04-02 $H:47:28 | WARN | Response time slow | server-node-1
2025-04-02 $H:47:28 | WARN | Disk usage 85% | server-node-2
2025-04-02 $H:47:28 | ERROR | 503 Service Unavailable | server-node-3
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-1
2025-04-02 $H:47:28 | INFO | Connection established | server-node-3
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-1
2025-04-02 $H:47:28 | WARN | Memory usage high | server-node-3
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-3
2025-04-02 $H:47:28 | WARN | Memory usage high | server-node-1
2025-04-02 $H:47:28 | INFO | Connection established | server-node-3
2025-04-02 $H:47:28 | INFO | User login successful | server-node-1
2025-04-02 $H:47:28 | WARN | Memory usage high | server-node-2
2025-04-02 $H:47:28 | WARN | Disk usage 85% | server-node-2
2025-04-02 $H:47:28 | ERROR | 500 Internal Server Error | server-node-2
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-1
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-2
2025-04-02 $H:47:28 | WARN | Memory usage high | server-node-2
2025-04-02 $H:47:28 | INFO | Connection established | server-node-2
2025-04-02 $H:47:28 | ERROR | Connection timeout | server-node-2
2025-04-02 $H:47:28 | WARN | Memory usage high | server-node-2
2025-04-02 $H:47:28 | ERROR | 500 Internal Server Error | server-node-1
2025-04-02 $H:47:28 | INFO | User login successful | server-node-2
2025-04-02 $H:47:28 | INFO | File uploaded | server-node-2
2025-04-02 $H:47:28 | ERROR | 500 Internal Server Error | server-node-1
