user_id,device_type,click_count,scroll_count,view_count,avg_click_coordinates_x,avg_click_coordinates_y,cluster
00a81705-3953-49aa-8006-ea2fb75f4b27,mobile,0,1,0,1705.0,485.0,4
00b3fb33-3a83-4256-8a43-ae9e5f956e62,desktop,0,1,0,393.0,165.0,1
012814c0-7e0e-4650-87fa-acd9fb66bda1,desktop,0,1,0,1183.0,138.0,4
01715403-82fd-4c4f-8ea7-cc89824b7b4e,mobile,0,1,0,441.0,796.0,0
0444adb3-399a-4a77-9550-a8c30dfac123,desktop,0,1,0,1873.0,996.0,0
06261fa3-280e-4e79-84c3-aa0c0d305021,desktop,0,1,0,545.0,254.0,1
09280f12-5338-45b1-bb3d-7022086b51ac,tablet,0,1,0,1211.0,123.0,4
098c92ce-162b-4caf-ae0a-f29f33665900,mobile,0,0,1,893.0,389.0,2
0bf246a1-e7e8-4543-8a42-afe69e48333f,desktop,1,0,0,1852.0,786.0,3
0c3bc54a-dd3c-48df-bf56-ad184a224cbd,tablet,1,0,0,1359.0,304.0,3
0c9219ab-eb94-49eb-848f-db6ba9408702,tablet,0,0,1,1414.0,615.0,2
0d4edcfd-3bac-4832-b30e-3dbaa8bf15e6,mobile,0,0,1,897.0,231.0,2
0f843da2-8701-4adc-90ce-385e3cd21e0d,tablet,0,1,0,1710.0,39.0,4
0fa65a6b-e7cc-446e-a288-4455b39321af,tablet,0,0,1,1234.0,127.0,2
10279859-cd05-4c9e-821c-5231d6ccf80e,desktop,1,0,0,356.0,448.0,3
114a68f8-ba40-43d5-badb-ce2108cd28c1,tablet,0,0,1,257.0,476.0,2
13710815-68da-44b5-aeb2-5c8c5e1c5362,tablet,0,0,1,538.0,47.0,2
15472885-3922-4e39-ae59-12ded9361cb7,mobile,0,0,1,492.0,654.0,2
15db3372-a602-4ddd-98c3-b1c8394c5824,desktop,0,0,1,1192.0,866.0,2
161dc8d6-e8f8-4c4e-b39a-8fd5a970f037,desktop,0,1,0,1825.0,167.0,4
163f82d4-79df-4e64-b570-84559e703bb1,tablet,0,1,0,1313.0,523.0,4
1699dd03-b842-48ae-80b3-71c1ea34887b,desktop,1,0,0,349.0,370.0,3
17b96ec5-b2d6-487c-bdcc-8ea2eefad8e4,mobile,0,0,1,1679.0,815.0,2
18266114-401d-4237-92ac-b1b24d3da0fa,mobile,0,1,0,725.0,547.0,1
18e40b43-ad06-4642-a093-39f20a9758bf,tablet,0,0,1,383.0,18.0,2
198b4bf5-a005-4fa1-a41c-e674954f5ffe,desktop,0,0,1,884.0,1012.0,2
19b3768a-2ab0-4f1b-95c7-09e528bd28fb,desktop,0,0,1,1905.0,500.0,2
1de6ac0d-9c28-4d54-a38a-b8193877a804,mobile,0,1,0,1526.0,251.0,4
1e1f46fb-b252-4237-a8b0-84de4141ac40,desktop,0,0,1,1729.0,194.0,2
